"","team1","team2","winner","season","team1_seed","team2_seed"
"191","College of Charleston","Tulsa","Tulsa",1999,8,9
"192","Wisconsin","Missouri State","Missouri State",1999,5,12
"193","Tennessee","Delaware","Tennessee",1999,4,13
"194","Temple","Kent State","Temple",1999,6,11
"195","Cincinnati","George Mason","Cincinnati",1999,3,14
"196","Texas","Purdue","Purdue",1999,7,10
"197","Miami (FL)","Lafayette","Miami (FL)",1999,2,15
"198","Duke","Tulsa","Duke",1999,1,9
"199","Missouri State","Tennessee","Missouri State",1999,12,4
"200","Temple","Cincinnati","Temple",1999,6,3
"201","Purdue","Miami (FL)","Purdue",1999,10,2
"202","Duke","Missouri State","Duke",1999,1,12
"203","Temple","Purdue","Temple",1999,6,10
"204","Duke","Temple","Duke",1999,1,6
"205","Michigan State","Mount St. Mary's","Michigan State",1999,1,16
"206","Villanova","Ole Miss","Ole Miss",1999,8,9
"207","Charlotte","Rhode Island","Charlotte",1999,5,12
"208","Arizona","Oklahoma","Oklahoma",1999,4,13
"209","Kansas","Evansville","Kansas",1999,6,11
"210","Kentucky","New Mexico State","Kentucky",1999,3,14
"211","Washington","Miami (OH)","Miami (OH)",1999,7,10
"212","Utah","Arkansas State","Utah",1999,2,15
"213","Michigan State","Ole Miss","Michigan State",1999,1,9
"214","Charlotte","Oklahoma","Oklahoma",1999,5,13
"215","Kansas","Kentucky","Kentucky",1999,6,3
"216","Miami (OH)","Utah","Miami (OH)",1999,10,2
"217","Michigan State","Oklahoma","Michigan State",1999,1,13
"218","Kentucky","Miami (OH)","Kentucky",1999,3,10
"219","Michigan State","Kentucky","Michigan State",1999,1,3
"220","Auburn","Winthrop","Auburn",1999,1,16
"221","Syracuse","Oklahoma State","Oklahoma State",1999,8,9
"222","UCLA","Detroit","Detroit",1999,5,12
"223","Ohio State","Murray State","Ohio State",1999,4,13
"224","Indiana","George Washington","Indiana",1999,6,11
"225","St. John's (NY)","Samford","St. John's (NY)",1999,3,14
"226","Louisville","Creighton","Creighton",1999,7,10
"227","Maryland","Valparaiso","Maryland",1999,2,15
"228","Auburn","Oklahoma State","Auburn",1999,1,9
"229","Detroit","Ohio State","Ohio State",1999,12,4
"230","Indiana","St. John's (NY)","St. John's (NY)",1999,6,3
"231","Creighton","Maryland","Maryland",1999,10,2
"232","Auburn","Ohio State","Ohio State",1999,1,4
"233","St. John's (NY)","Maryland","St. John's (NY)",1999,3,2
"234","Ohio State","St. John's (NY)","Ohio State",1999,4,3
"235","UConn","UTSA","UConn",1999,1,16
"236","Missouri","New Mexico","New Mexico",1999,8,9
"237","Iowa","Alabama-Birmingham","Iowa",1999,5,12
"238","Arkansas","Siena","Arkansas",1999,4,13
"239","Florida","Penn","Florida",1999,6,11
"240","UNC","Weber State","Weber State",1999,3,14
