"","team1","team2","winner","season","team1_seed","team2_seed"
"1049","Murray State","Marquette","Marquette",2012,6,3
"1050","Florida","Norfolk State","Florida",2012,7,15
"1051","Michigan State","Louisville","Louisville",2012,1,4
"1052","Marquette","Florida","Florida",2012,3,7
"1053","Louisville","Florida","Louisville",2012,4,7
"1054","Syracuse","UNC Asheville","Syracuse",2012,1,16
"1055","Kansas State","Southern Miss","Kansas State",2012,8,9
"1056","Vanderbilt","Harvard","Vanderbilt",2012,5,12
"1057","Wisconsin","Montana","Wisconsin",2012,4,13
"1058","Cincinnati","Texas","Cincinnati",2012,6,11
"1059","Florida State","St. Bonaventure","Florida State",2012,3,14
"1060","Gonzaga","West Virginia","Gonzaga",2012,7,10
"1061","Ohio State","Loyola (MD)","Ohio State",2012,2,15
"1062","Syracuse","Kansas State","Syracuse",2012,1,8
"1063","Vanderbilt","Wisconsin","Wisconsin",2012,5,4
"1064","Cincinnati","Florida State","Cincinnati",2012,6,3
"1065","Gonzaga","Ohio State","Ohio State",2012,7,2
"1066","Syracuse","Wisconsin","Syracuse",2012,1,4
"1067","Cincinnati","Ohio State","Ohio State",2012,6,2
"1068","Syracuse","Ohio State","Ohio State",2012,1,2
"1069","Kentucky","Louisville","Kentucky",2012,1,4
"1070","Ohio State","Kansas","Ohio State",2012,2,2
"1071","Kentucky","Kansas","Kansas",2012,1,2
"1072","Indiana","James Madison","Indiana",2013,1,16
"1073","NC State","Temple","Temple",2013,8,9
"1074","UNLV","California","California",2013,5,12
"1075","Syracuse","Montana","Syracuse",2013,4,13
"1076","Butler","Bucknell","Butler",2013,6,11
"1077","Marquette","Davidson","Marquette",2013,3,14
"1078","Illinois","Colorado","Illinois",2013,7,10
"1079","Miami (FL)","Pacific","Miami (FL)",2013,2,15
"1080","Indiana","Temple","Indiana",2013,1,9
"1081","California","Syracuse","Syracuse",2013,12,4
"1082","Butler","Marquette","Marquette",2013,6,3
"1083","Illinois","Miami (FL)","Miami (FL)",2013,7,2
"1084","Indiana","Syracuse","Syracuse",2013,1,4
"1085","Marquette","Miami (FL)","Marquette",2013,3,2
"1086","Syracuse","Marquette","Syracuse",2013,4,3
"1087","Louisville","North Carolina A&T","Louisville",2013,1,16
"1088","Colorado State","Missouri","Colorado State",2013,8,9
"1089","Oklahoma State","Oregon","Oregon",2013,5,12
"1090","Saint Louis","New Mexico State","Saint Louis",2013,4,13
"1091","Memphis","Saint Mary's","Memphis",2013,6,11
"1092","Michigan State","Valparaiso","Michigan State",2013,3,14
"1093","Creighton","Cincinnati","Creighton",2013,7,10
"1094","Duke","Albany (NY)","Duke",2013,2,15
"1095","Louisville","Colorado State","Louisville",2013,1,8
"1096","Oregon","Saint Louis","Oregon",2013,12,4
"1097","Memphis","Michigan State","Michigan State",2013,6,3
"1098","Creighton","Duke","Duke",2013,7,2
"1099","Louisville","Oregon","Louisville",2013,1,12
"1100","Michigan State","Duke","Duke",2013,3,2
"1101","Louisville","Duke","Louisville",2013,1,2
"1102","Gonzaga","Southern","Gonzaga",2013,1,16
"1103","Pitt","Wichita State","Wichita State",2013,8,9
"1104","Wisconsin","Ole Miss","Ole Miss",2013,5,12
"1105","Kansas State","La Salle","La Salle",2013,4,13
"1106","Arizona","Belmont","Arizona",2013,6,11
"1107","New Mexico","Harvard","Harvard",2013,3,14
"1108","Notre Dame","Iowa State","Iowa State",2013,7,10
"1109","Ohio State","Iona","Ohio State",2013,2,15
"1110","Gonzaga","Wichita State","Wichita State",2013,1,9
"1111","Ole Miss","La Salle","La Salle",2013,12,13
"1112","Arizona","Harvard","Arizona",2013,6,14
"1113","Iowa State","Ohio State","Ohio State",2013,10,2
"1114","Wichita State","La Salle","Wichita State",2013,9,13
"1115","Arizona","Ohio State","Ohio State",2013,6,2
"1116","Wichita State","Ohio State","Wichita State",2013,9,2
"1117","Kansas","Western Kentucky","Kansas",2013,1,16
"1118","UNC","Villanova","UNC",2013,8,9
"1119","VCU","Akron","VCU",2013,5,12
"1120","Michigan","South Dakota State","Michigan",2013,4,13
"1121","UCLA","Minnesota","Minnesota",2013,6,11
"1122","Florida","Northwestern State","Florida",2013,3,14
"1123","San Diego State","Oklahoma","San Diego State",2013,7,10
"1124","Georgetown","Florida Gulf Coast","Florida Gulf Coast",2013,2,15
"1125","Kansas","UNC","Kansas",2013,1,8
"1126","VCU","Michigan","Michigan",2013,5,4
"1127","Minnesota","Florida","Florida",2013,11,3
"1128","San Diego State","Florida Gulf Coast","Florida Gulf Coast",2013,7,15
"1129","Kansas","Michigan","Michigan",2013,1,4
"1130","Florida","Florida Gulf Coast","Florida",2013,3,15
"1131","Michigan","Florida","Michigan",2013,4,3
"1132","Louisville","Wichita State","Louisville",2013,1,9
"1133","Syracuse","Michigan","Michigan",2013,4,4
"1134","Louisville","Michigan","Michigan",2013,1,4
"1135","Wichita State","Cal Poly","Wichita State",2014,1,16
"1136","Kentucky","Kansas State","Kentucky",2014,8,9
"1137","Saint Louis","NC State","Saint Louis",2014,5,12
"1138","Louisville","Manhattan","Louisville",2014,4,13
"1139","UMass","Tennessee","Tennessee",2014,6,11
"1140","Duke","Mercer","Mercer",2014,3,14
"1141","Texas","Arizona State","Texas",2014,7,10
"1142","Michigan","Wofford","Michigan",2014,2,15
"1143","Wichita State","Kentucky","Kentucky",2014,1,8
"1144","Saint Louis","Louisville","Louisville",2014,5,4
"1145","Tennessee","Mercer","Tennessee",2014,11,14
"1146","Texas","Michigan","Michigan",2014,7,2
"1147","Kentucky","Louisville","Kentucky",2014,8,4
"1148","Tennessee","Michigan","Michigan",2014,11,2
"1149","Kentucky","Michigan","Kentucky",2014,8,2
"1150","Florida","Albany (NY)","Florida",2014,1,16
"1151","Colorado","Pitt","Pitt",2014,8,9
"1152","VCU","Stephen F. Austin","Stephen F. Austin",2014,5,12
"1153","UCLA","Tulsa","UCLA",2014,4,13
"1154","Ohio State","Dayton","Dayton",2014,6,11
"1155","Syracuse","Western Michigan","Syracuse",2014,3,14
"1156","New Mexico","Stanford","Stanford",2014,7,10
"1157","Kansas","Eastern Kentucky","Kansas",2014,2,15
"1158","Florida","Pitt","Florida",2014,1,9
"1159","Stephen F. Austin","UCLA","UCLA",2014,12,4
"1160","Dayton","Syracuse","Dayton",2014,11,3
"1161","Stanford","Kansas","Stanford",2014,10,2
"1162","Florida","UCLA","Florida",2014,1,4
"1163","Dayton","Stanford","Dayton",2014,11,10
"1164","Florida","Dayton","Florida",2014,1,11
"1165","Virginia","Coastal Carolina","Virginia",2014,1,16
"1166","Memphis","George Washington","Memphis",2014,8,9
"1167","Cincinnati","Harvard","Harvard",2014,5,12
"1168","Michigan State","Delaware","Michigan State",2014,4,13
"1169","UNC","Providence","UNC",2014,6,11
"1170","Iowa State","North Carolina Central","Iowa State",2014,3,14
"1171","UConn","St. Joseph's","UConn",2014,7,10
"1172","Villanova","Milwaukee","Villanova",2014,2,15
"1173","Virginia","Memphis","Virginia",2014,1,8
"1174","Harvard","Michigan State","Michigan State",2014,12,4
"1175","UNC","Iowa State","Iowa State",2014,6,3
"1176","UConn","Villanova","UConn",2014,7,2
"1177","Virginia","Michigan State","Michigan State",2014,1,4
"1178","Iowa State","UConn","UConn",2014,3,7
"1179","Michigan State","UConn","UConn",2014,4,7
"1180","Arizona","Weber State","Arizona",2014,1,16
"1181","Gonzaga","Oklahoma State","Gonzaga",2014,8,9
"1182","Oklahoma","North Dakota State","North Dakota State",2014,5,12
"1183","San Diego State","New Mexico State","San Diego State",2014,4,13
"1184","Baylor","Nebraska","Baylor",2014,6,11
"1185","Creighton","Louisiana","Creighton",2014,3,14
"1186","Oregon","BYU","Oregon",2014,7,10
"1187","Wisconsin","American","Wisconsin",2014,2,15
"1188","Arizona","Gonzaga","Arizona",2014,1,8
"1189","North Dakota State","San Diego State","San Diego State",2014,12,4
"1190","Baylor","Creighton","Baylor",2014,6,3
"1191","Oregon","Wisconsin","Wisconsin",2014,7,2
"1192","Arizona","San Diego State","Arizona",2014,1,4
"1193","Baylor","Wisconsin","Wisconsin",2014,6,2
"1194","Arizona","Wisconsin","Wisconsin",2014,1,2
"1195","UConn","Florida","UConn",2014,7,1
"1196","Wisconsin","Kentucky","Wisconsin",2014,2,8
"1197","UConn","Kentucky","UConn",2014,7,8
"1198","Villanova","Lafayette","Villanova",2015,1,16
"1199","NC State","LSU","NC State",2015,8,9
"1200","Northern Iowa","Wyoming","Northern Iowa",2015,5,12
"1201","Louisville","UC-Irvine","Louisville",2015,4,13
"1202","Providence","Dayton","Dayton",2015,6,11
"1203","Oklahoma","Albany (NY)","Oklahoma",2015,3,14
"1204","Michigan State","Georgia","Michigan State",2015,7,10
"1205","Virginia","Belmont","Virginia",2015,2,15
"1206","Villanova","NC State","NC State",2015,1,8
"1207","Northern Iowa","Louisville","Louisville",2015,5,4
"1208","Dayton","Oklahoma","Oklahoma",2015,11,3
"1209","Michigan State","Virginia","Michigan State",2015,7,2
"1210","NC State","Louisville","Louisville",2015,8,4
"1211","Oklahoma","Michigan State","Michigan State",2015,3,7
"1212","Louisville","Michigan State","Michigan State",2015,4,7
"1213","Kentucky","Hampton","Kentucky",2015,1,16
"1214","Cincinnati","Purdue","Cincinnati",2015,8,9
"1215","West Virginia","Buffalo","West Virginia",2015,5,12
"1216","Maryland","Valparaiso","Maryland",2015,4,13
"1217","Butler","Texas","Butler",2015,6,11
"1218","Notre Dame","Northeastern","Notre Dame",2015,3,14
"1219","Wichita State","Indiana","Wichita State",2015,7,10
"1220","Kansas","New Mexico State","Kansas",2015,2,15
"1221","Kentucky","Cincinnati","Kentucky",2015,1,8
"1222","West Virginia","Maryland","West Virginia",2015,5,4
"1223","Butler","Notre Dame","Notre Dame",2015,6,3
"1224","Wichita State","Kansas","Wichita State",2015,7,2
"1225","Kentucky","West Virginia","Kentucky",2015,1,5
"1226","Notre Dame","Wichita State","Notre Dame",2015,3,7
"1227","Kentucky","Notre Dame","Kentucky",2015,1,3
"1228","Duke","Robert Morris","Duke",2015,1,16
"1229","San Diego State","St. John's (NY)","San Diego State",2015,8,9
"1230","Utah","Stephen F. Austin","Utah",2015,5,12
"1231","Georgetown","Eastern Washington","Georgetown",2015,4,13
"1232","SMU","UCLA","UCLA",2015,6,11
"1233","Iowa State","Alabama-Birmingham","Alabama-Birmingham",2015,3,14
"1234","Iowa","Davidson","Iowa",2015,7,10
"1235","Gonzaga","North Dakota State","Gonzaga",2015,2,15
"1236","Duke","San Diego State","Duke",2015,1,8
"1237","Utah","Georgetown","Utah",2015,5,4
"1238","UCLA","Alabama-Birmingham","UCLA",2015,11,14
"1239","Iowa","Gonzaga","Gonzaga",2015,7,2
"1240","Duke","Utah","Duke",2015,1,5
"1241","UCLA","Gonzaga","Gonzaga",2015,11,2
"1242","Duke","Gonzaga","Duke",2015,1,2
"1243","Wisconsin","Coastal Carolina","Wisconsin",2015,1,16
"1244","Oregon","Oklahoma State","Oregon",2015,8,9
"1245","Arkansas","Wofford","Arkansas",2015,5,12
"1246","UNC","Harvard","UNC",2015,4,13
"1247","Xavier","Ole Miss","Xavier",2015,6,11
"1248","Baylor","Georgia State","Georgia State",2015,3,14
"1249","VCU","Ohio State","Ohio State",2015,7,10
"1250","Arizona","Texas Southern","Arizona",2015,2,15
"1251","Wisconsin","Oregon","Wisconsin",2015,1,8
"1252","Arkansas","UNC","UNC",2015,5,4
"1253","Xavier","Georgia State","Xavier",2015,6,14
"1254","Ohio State","Arizona","Arizona",2015,10,2
"1255","Wisconsin","UNC","Wisconsin",2015,1,4
"1256","Xavier","Arizona","Arizona",2015,6,2
"1257","Wisconsin","Arizona","Wisconsin",2015,1,2
"1258","Duke","Michigan State","Duke",2015,1,7
"1259","Kentucky","Wisconsin","Kentucky",2015,1,1
"1260","Duke","Wisconsin","Duke",2015,1,1
"1261","UNC","Florida Gulf Coast","UNC",2016,1,16
"1262","USC","Providence","Providence",2016,8,9
"1263","Indiana","Chattanooga","Indiana",2016,5,12
"1264","Kentucky","Stony Brook","Kentucky",2016,4,13
"1265","Notre Dame","Michigan","Notre Dame",2016,6,11
"1266","West Virginia","Stephen F. Austin","Stephen F. Austin",2016,3,14
"1267","Wisconsin","Pitt","Wisconsin",2016,7,10
"1268","Xavier","Weber State","Xavier",2016,2,15
"1269","UNC","Providence","UNC",2016,1,9
"1270","Indiana","Kentucky","Indiana",2016,5,4
"1271","Notre Dame","Stephen F. Austin","Notre Dame",2016,6,14
"1272","Wisconsin","Xavier","Wisconsin",2016,7,2
"1273","UNC","Indiana","UNC",2016,1,5
"1274","Notre Dame","Wisconsin","Notre Dame",2016,6,7
"1275","UNC","Notre Dame","UNC",2016,1,6
"1276","Kansas","Austin Peay","Kansas",2016,1,16
"1277","Colorado","UConn","UConn",2016,8,9
"1278","Maryland","South Dakota State","Maryland",2016,5,12
"1279","California","Hawaii","Hawaii",2016,4,13
"1280","Arizona","Wichita State","Wichita State",2016,6,11
"1281","Miami (FL)","Buffalo","Miami (FL)",2016,3,14
"1282","Iowa","Temple","Iowa",2016,7,10
"1283","Villanova","UNC Asheville","Villanova",2016,2,15
"1284","Kansas","UConn","Kansas",2016,1,9
"1285","Maryland","Hawaii","Maryland",2016,5,13
"1286","Wichita State","Miami (FL)","Miami (FL)",2016,11,3
"1287","Iowa","Villanova","Villanova",2016,7,2
"1288","Kansas","Maryland","Kansas",2016,1,5
"1289","Miami (FL)","Villanova","Villanova",2016,3,2
"1290","Kansas","Villanova","Villanova",2016,1,2
"1291","Oregon","Holy Cross","Oregon",2016,1,16
"1292","St. Joseph's","Cincinnati","St. Joseph's",2016,8,9
"1293","Baylor","Yale","Yale",2016,5,12
"1294","Duke","UNC Wilmington","Duke",2016,4,13
"1295","Texas","Northern Iowa","Northern Iowa",2016,6,11
"1296","Texas A&M","Green Bay","Texas A&M",2016,3,14
"1297","Oregon State","VCU","VCU",2016,7,10
"1298","Oklahoma","Cal State Bakersfield","Oklahoma",2016,2,15
"1299","Oregon","St. Joseph's","Oregon",2016,1,8
"1300","Yale","Duke","Duke",2016,12,4
"1301","Northern Iowa","Texas A&M","Texas A&M",2016,11,3
"1302","VCU","Oklahoma","Oklahoma",2016,10,2
"1303","Oregon","Duke","Oregon",2016,1,4
"1304","Texas A&M","Oklahoma","Oklahoma",2016,3,2
"1305","Oregon","Oklahoma","Oklahoma",2016,1,2
"1306","Virginia","Hampton","Virginia",2016,1,16
"1307","Texas Tech","Butler","Butler",2016,8,9
"1308","Purdue","Little Rock","Little Rock",2016,5,12
"1309","Iowa State","Iona","Iowa State",2016,4,13
"1310","Seton Hall","Gonzaga","Gonzaga",2016,6,11
"1311","Utah","Fresno State","Utah",2016,3,14
"1312","Dayton","Syracuse","Syracuse",2016,7,10
"1313","Michigan State","Middle Tennessee","Middle Tennessee",2016,2,15
"1314","Virginia","Butler","Virginia",2016,1,9
"1315","Little Rock","Iowa State","Iowa State",2016,12,4
"1316","Gonzaga","Utah","Gonzaga",2016,11,3
"1317","Syracuse","Middle Tennessee","Syracuse",2016,10,15
"1318","Virginia","Iowa State","Virginia",2016,1,4
"1319","Gonzaga","Syracuse","Syracuse",2016,11,10
"1320","Virginia","Syracuse","Syracuse",2016,1,10
"1321","Villanova","Oklahoma","Villanova",2016,2,2
"1322","Syracuse","UNC","UNC",2016,10,1
"1323","Villanova","UNC","Villanova",2016,2,1
"1324","Villanova","Mount St. Mary's","Villanova",2017,1,16
"1325","Wisconsin","Virginia Tech","Wisconsin",2017,8,9
"1326","Virginia","UNC Wilmington","Virginia",2017,5,12
"1327","Florida","ETSU","Florida",2017,4,13
"1328","SMU","USC","USC",2017,6,11
"1329","Baylor","New Mexico State","Baylor",2017,3,14
"1330","South Carolina","Marquette","South Carolina",2017,7,10
"1331","Duke","Troy","Duke",2017,2,15
"1332","Villanova","Wisconsin","Wisconsin",2017,1,8
"1333","Virginia","Florida","Florida",2017,5,4
"1334","USC","Baylor","Baylor",2017,11,3
"1335","South Carolina","Duke","South Carolina",2017,7,2
"1336","Wisconsin","Florida","Florida",2017,8,4
"1337","Baylor","South Carolina","South Carolina",2017,3,7
"1338","Florida","South Carolina","South Carolina",2017,4,7
"1339","Kansas","UC-Davis","Kansas",2017,1,16
"1340","Miami (FL)","Michigan State","Michigan State",2017,8,9
"1341","Iowa State","Nevada","Iowa State",2017,5,12
"1342","Purdue","Vermont","Purdue",2017,4,13
"1343","Creighton","Rhode Island","Rhode Island",2017,6,11
"1344","Oregon","Iona","Oregon",2017,3,14
"1345","Michigan","Oklahoma State","Michigan",2017,7,10
"1346","Louisville","Jacksonville State","Louisville",2017,2,15
"1347","Kansas","Michigan State","Kansas",2017,1,9
"1348","Iowa State","Purdue","Purdue",2017,5,4
"1349","Rhode Island","Oregon","Oregon",2017,11,3
"1350","Michigan","Louisville","Michigan",2017,7,2
"1351","Kansas","Purdue","Kansas",2017,1,4
"1352","Oregon","Michigan","Oregon",2017,3,7
"1353","Kansas","Oregon","Oregon",2017,1,3
"1354","UNC","Texas Southern","UNC",2017,1,16
"1355","Arkansas","Seton Hall","Arkansas",2017,8,9
"1356","Minnesota","Middle Tennessee","Middle Tennessee",2017,5,12
"1357","Butler","Winthrop","Butler",2017,4,13
"1358","Cincinnati","Kansas State","Cincinnati",2017,6,11
"1359","UCLA","Kent State","UCLA",2017,3,14
"1360","Dayton","Wichita State","Wichita State",2017,7,10
"1361","Kentucky","Northern Kentucky","Kentucky",2017,2,15
"1362","UNC","Arkansas","UNC",2017,1,8
"1363","Middle Tennessee","Butler","Butler",2017,12,4
"1364","Cincinnati","UCLA","UCLA",2017,6,3
"1365","Wichita State","Kentucky","Kentucky",2017,10,2
"1366","UNC","Butler","UNC",2017,1,4
"1367","UCLA","Kentucky","Kentucky",2017,3,2
"1368","UNC","Kentucky","UNC",2017,1,2
"1369","Gonzaga","South Dakota State","Gonzaga",2017,1,16
"1370","Northwestern","Vanderbilt","Northwestern",2017,8,9
"1371","Notre Dame","Princeton","Notre Dame",2017,5,12
"1372","West Virginia","Bucknell","West Virginia",2017,4,13
"1373","Maryland","Xavier","Xavier",2017,6,11
"1374","Florida State","Florida Gulf Coast","Florida State",2017,3,14
"1375","Saint Mary's","VCU","Saint Mary's",2017,7,10
"1376","Arizona","North Dakota","Arizona",2017,2,15
"1377","Gonzaga","Northwestern","Gonzaga",2017,1,8
"1378","Notre Dame","West Virginia","West Virginia",2017,5,4
"1379","Xavier","Florida State","Xavier",2017,11,3
"1380","Saint Mary's","Arizona","Arizona",2017,7,2
"1381","Gonzaga","West Virginia","Gonzaga",2017,1,4
"1382","Xavier","Arizona","Xavier",2017,11,2
"1383","Gonzaga","Xavier","Gonzaga",2017,1,11
"1384","Oregon","UNC","Oregon",2017,3,1
"1385","South Carolina","Gonzaga","South Carolina",2017,7,1
"1386","UNC","Gonzaga","UNC",2017,1,1
"1387","Villanova","Radford","Villanova",2018,1,16
"1388","Virginia Tech","Alabama","Alabama",2018,8,9
"1389","West Virginia","Murray State","West Virginia",2018,5,12
"1390","Wichita State","Marshall","Marshall",2018,4,13
"1391","Florida","St. Bonaventure","Florida",2018,6,11
"1392","Texas Tech","Stephen F. Austin","Texas Tech",2018,3,14
"1393","Arkansas","Butler","Butler",2018,7,10
"1394","Purdue","Cal State Fullerton","Purdue",2018,2,15
"1395","Villanova","Alabama","Villanova",2018,1,9
"1396","West Virginia","Marshall","West Virginia",2018,5,13
"1397","Florida","Texas Tech","Texas Tech",2018,6,3
"1398","Butler","Purdue","Purdue",2018,10,2
"1399","Villanova","West Virginia","Villanova",2018,1,5
"1400","Texas Tech","Purdue","Texas Tech",2018,3,2
"1401","Villanova","Texas Tech","Villanova",2018,1,3
"1402","Kansas","Penn","Kansas",2018,1,16
"1403","Seton Hall","NC State","Seton Hall",2018,8,9
"1404","Clemson","New Mexico State","Clemson",2018,5,12
"1405","Auburn","College of Charleston","Auburn",2018,4,13
"1406","TCU","Syracuse","Syracuse",2018,6,11
"1407","Michigan State","Bucknell","Michigan State",2018,3,14
"1408","Rhode Island","Oklahoma","Rhode Island",2018,7,10
"1409","Duke","Iona","Duke",2018,2,15
"1410","Kansas","Seton Hall","Kansas",2018,1,8
"1411","Clemson","Auburn","Clemson",2018,5,4
"1412","Syracuse","Michigan State","Syracuse",2018,11,3
"1413","Rhode Island","Duke","Duke",2018,7,2
"1414","Kansas","Clemson","Kansas",2018,1,5
"1415","Syracuse","Duke","Duke",2018,11,2
"1416","Kansas","Duke","Kansas",2018,1,2
"1417","Xavier","Texas Southern","Xavier",2018,1,16
"1418","Missouri","Florida State","Florida State",2018,8,9
"1419","Ohio State","South Dakota State","Ohio State",2018,5,12
"1420","Gonzaga","UNC Greensboro","Gonzaga",2018,4,13
"1421","Houston","San Diego State","Houston",2018,6,11
"1422","Michigan","Montana","Michigan",2018,3,14
"1423","Texas A&M","Providence","Texas A&M",2018,7,10
"1424","UNC","Lipscomb","UNC",2018,2,15
"1425","Xavier","Florida State","Florida State",2018,1,9
"1426","Ohio State","Gonzaga","Gonzaga",2018,5,4
"1427","Houston","Michigan","Michigan",2018,6,3
"1428","Texas A&M","UNC","Texas A&M",2018,7,2
"1429","Florida State","Gonzaga","Florida State",2018,9,4
"1430","Michigan","Texas A&M","Michigan",2018,3,7
"1431","Florida State","Michigan","Michigan",2018,9,3
"1432","Virginia","UMBC","UMBC",2018,1,16
"1433","Creighton","Kansas State","Kansas State",2018,8,9
"1434","Kentucky","Davidson","Kentucky",2018,5,12
"1435","Arizona","Buffalo","Buffalo",2018,4,13
"1436","Miami (FL)","Loyola (IL)","Loyola (IL)",2018,6,11
"1437","Tennessee","Wright State","Tennessee",2018,3,14
"1438","Nevada","Texas","Nevada",2018,7,10
"1439","Cincinnati","Georgia State","Cincinnati",2018,2,15
"1440","UMBC","Kansas State","Kansas State",2018,16,9
"1441","Kentucky","Buffalo","Kentucky",2018,5,13
"1442","Loyola (IL)","Tennessee","Loyola (IL)",2018,11,3
"1443","Nevada","Cincinnati","Nevada",2018,7,2
"1444","Kansas State","Kentucky","Kansas State",2018,9,5
"1445","Loyola (IL)","Nevada","Loyola (IL)",2018,11,7
"1446","Kansas State","Loyola (IL)","Loyola (IL)",2018,9,11
"1447","Villanova","Kansas","Villanova",2018,1,1
"1448","Loyola (IL)","Michigan","Michigan",2018,11,3
"1449","Villanova","Michigan","Villanova",2018,1,3
