season,wteam,lteam,School,OverallG,OverallW,OverallL,OverallW.L_percent,OverallSRS,OverallSOS,Conf.W,Conf.L,PointsTm.,PointsOpp.,School.TotalsFG,School.TotalsFGA,School.TotalsFG_percent,School.Totals3P,School.Totals3PA,School.Totals3P_percent,School.TotalsFT,School.TotalsFTA,School.TotalsFT_percent,School.TotalsTRB,School.TotalsAST,School.TotalsSTL,School.TotalsBLK,SchoolAdvancedFTr,SchoolAdvanced3PAr,SchoolAdvancedTS_percent,SchoolAdvancedTRB_percent,SchoolAdvancedAST_percent,SchoolAdvancedBLK_percent,SchoolAdvancedeFG_percent,SchoolAdvancedFT.FGA,season.2,seed,School.1,OverallG.1,OverallW.1,OverallL.1,OverallW.L_percent.1,OverallSRS.1,OverallSOS.1,Conf.W.1,Conf.L.1,PointsTm..1,PointsOpp..1,School.TotalsFG.1,School.TotalsFGA.1,School.TotalsFG_percent.1,School.Totals3P.1,School.Totals3PA.1,School.Totals3P_percent.1,School.TotalsFT.1,School.TotalsFTA.1,School.TotalsFT_percent.1,School.TotalsTRB.1,School.TotalsAST.1,School.TotalsSTL.1,School.TotalsBLK.1,SchoolAdvancedFTr.1,SchoolAdvanced3PAr.1,SchoolAdvancedTS_percent.1,SchoolAdvancedTRB_percent.1,SchoolAdvancedAST_percent.1,SchoolAdvancedBLK_percent.1,SchoolAdvancedeFG_percent.1,SchoolAdvancedFT.FGA.1,season.1,seed.1,variable
2007,North Carolina,Michigan State,North Carolina,38,31,7,0.816,26.41,9.3,11,5,3258,2608,1187,2379,0.499,215,600,0.358,669,940,0.712,1551,696,309,173,0.395,0.252,0.577,55.8,58.6,7.5,0.544,0.281,2007,1,Michigan State,35,23,12,0.657,16.3,8.45,8,8,2276,2001,806,1718,0.469,182,486,0.374,482,671,0.718,1217,560,180,162,0.391,0.283,0.559,55.6,69.5,9.3,0.522,0.281,2007,9,wteam
2007,Southern California,Texas,Southern California,37,25,12,0.676,13.78,7.87,11,7,2656,2413,946,1988,0.476,207,523,0.396,557,779,0.715,1277,472,206,148,0.392,0.263,0.563,50,49.9,6.8,0.528,0.28,2007,5,Texas,35,25,10,0.714,15.6,6.12,12,4,2860,2528,963,2164,0.445,308,792,0.389,626,850,0.736,1391,479,262,197,0.393,0.366,0.557,51.4,49.7,9,0.516,0.289,2007,4,wteam
2007,Vanderbilt,Washington State,Vanderbilt,34,22,12,0.647,12.76,7.79,10,6,2594,2387,904,1984,0.456,317,843,0.376,469,643,0.729,1146,578,257,93,0.324,0.425,0.567,48.4,63.9,4.8,0.536,0.236,2007,6,Washington State,34,26,8,0.765,13.33,6,13,5,2273,2024,826,1777,0.465,196,527,0.372,425,593,0.717,1043,472,226,155,0.334,0.297,0.552,48.2,57.1,8.8,0.52,0.239,2007,3,wteam
2007,Georgetown,Boston College,Georgetown,37,30,7,0.811,19.62,9.48,13,3,2555,2146,923,1826,0.505,235,635,0.37,474,667,0.711,1250,545,192,189,0.365,0.348,0.596,54.3,59,9.8,0.57,0.26,2007,2,Boston College,33,21,12,0.636,13.76,9.21,10,6,2453,2303,842,1763,0.478,196,562,0.349,573,791,0.724,1142,483,188,191,0.449,0.319,0.573,51.2,57.4,9.6,0.533,0.325,2007,7,wteam
2007,North Carolina,Southern California,North Carolina,38,31,7,0.816,26.41,9.3,11,5,3258,2608,1187,2379,0.499,215,600,0.358,669,940,0.712,1551,696,309,173,0.395,0.252,0.577,55.8,58.6,7.5,0.544,0.281,2007,1,Southern California,37,25,12,0.676,13.78,7.87,11,7,2656,2413,946,1988,0.476,207,523,0.396,557,779,0.715,1277,472,206,148,0.392,0.263,0.563,50,49.9,6.8,0.528,0.28,2007,5,wteam
2007,Georgetown,Vanderbilt,Georgetown,37,30,7,0.811,19.62,9.48,13,3,2555,2146,923,1826,0.505,235,635,0.37,474,667,0.711,1250,545,192,189,0.365,0.348,0.596,54.3,59,9.8,0.57,0.26,2007,2,Vanderbilt,34,22,12,0.647,12.76,7.79,10,6,2594,2387,904,1984,0.456,317,843,0.376,469,643,0.729,1146,578,257,93,0.324,0.425,0.567,48.4,63.9,4.8,0.536,0.236,2007,6,wteam
2007,Georgetown,North Carolina,Georgetown,37,30,7,0.811,19.62,9.48,13,3,2555,2146,923,1826,0.505,235,635,0.37,474,667,0.711,1250,545,192,189,0.365,0.348,0.596,54.3,59,9.8,0.57,0.26,2007,2,North Carolina,38,31,7,0.816,26.41,9.3,11,5,3258,2608,1187,2379,0.499,215,600,0.358,669,940,0.712,1551,696,309,173,0.395,0.252,0.577,55.8,58.6,7.5,0.544,0.281,2007,1,wteam
2007,Florida,Jackson State,Florida,40,35,5,0.875,23.82,7.34,13,3,3193,2504,1125,2138,0.526,297,727,0.409,646,936,0.69,1504,614,266,194,0.438,0.34,0.618,56.4,54.6,8.4,0.596,0.302,2007,1,Jackson State,35,21,14,0.6,-12.28,-9.94,12,6,2490,2572,878,2107,0.417,194,620,0.313,540,759,0.711,1250,469,289,107,0.36,0.294,0.505,48.2,53.4,5.4,0.463,0.256,2007,16,wteam
2007,Purdue,Arizona,Purdue,34,22,12,0.647,14.65,8.89,9,7,2376,2154,843,1834,0.46,219,614,0.357,471,695,0.678,1121,465,269,89,0.379,0.335,0.549,50.9,55.2,5.1,0.519,0.257,2007,9,Arizona,31,20,11,0.645,16.24,10.76,11,7,2417,2247,846,1770,0.478,172,505,0.341,553,737,0.75,1158,511,189,103,0.416,0.285,0.57,54.1,60.4,5.3,0.527,0.312,2007,8,wteam
2007,Butler,Old Dominion,Butler,36,29,7,0.806,14.34,3.94,13,3,2434,2056,780,1792,0.435,321,871,0.369,553,728,0.76,1068,437,195,64,0.406,0.486,0.569,48.8,56,3.8,0.525,0.309,2007,5,Old Dominion,33,24,9,0.727,7.83,0.44,15,3,2290,2046,788,1828,0.431,235,678,0.347,479,663,0.722,1208,483,252,114,0.363,0.371,0.534,52.9,61.3,6.6,0.495,0.262,2007,12,wteam
